 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 fazilet-i uhreviye _  uhrevi üstünlük, makam ve makbuliyet.  
 fazl _  lütuf, bağış, ihsan, karşılıksız iyilik; bereket, bolluk.  
 Fazl-ı İlâhî _  Allah'ın lütfu, ihsânı.  
 Fazl-ı Rahmân _  sonsuz merhamet sahibi Allah'ın fazl ve ihsanı.  
 fecr (fecir) _  tan erinin ağarması güneşin doğduğu yerde sabahâ yakın meydana gelen aydınlık; sabah 
 fecr-i haşir _  haşir sabahı.  
 fedakâr _  fedâ eden, kıymet ve ehemmiyet verilen bir şey uğrunda her şeyi gözden çıkaran.  
 fedâkârâne _  fedâkâr bir şekilde.  
 fehm _  anlamak; anlayış, zihnen kavrayış.  
 fehm-i kasır _  noksan anlayış, kısa anlayış, kusurlu anlayış.  
 felâh _  selâmet, saâdet, kurtuluş; hayır ve nîmetlerde refah; fevz ve zafer, necat ve bekâ.  
 felâhat _  çiftçilik.  
 felâket-i mâzi _  mâzideki felâketler. Geçmiş musibetler.  
 felâsife _  felsefeciler, filozoflar.  
 felâsife-i abesiyyun _  kâinâtın ve hâdiselerin başıboş ve faydasız ve gâyesiz, kendi kendine, yaratıcısız olduğuna inanan bâtıl yoldaki felsefeciler.  
 felek _  gök, gök katı, dünya, âlem.  
 Felillâhilhamd _  hamd, Allah'a mahsustur.  
 felsefe _  madde ve hayatı başlangıç ve gâye bakımında inceleyen ilim. Felsefe dîne dayandığında, hakikati bulmuş, sırt çevirdiğinde de çelişkiler içerisinde kalmıştır.  
 felsefe-i Avrupa _  Avrupa felsefesi.  
 felsefe-i beşer _  insan felsefesi.  
 felsefe-i maddiye _  her şeyi maddede arayan ve kabul eden anlayış.  
 felsefe-i sakime _  yanlış yoldaki felsefe, sakat felsefe.  
 felsefe-i tabiiye _  her şeyi tabiata dayandıran felsefe.  
 fenâ _  yokluk, yok olma.  
 fenâ-i dünya _  dünyanın fâni, geçici olan gayr-ı meşrû yönü.  
 fenâ-i mutlak _  kayıtsız şartsız yok olma; mutlak yokluk.  
 fenâ-i nefs _  nefsini fenâ ve fedâ etmek; nefsini eritmek, ona galip gelmek.  
 fenâender _  fena içinde.  
 fenn-i askerî _  askerlik sanatı.  
 fenn-i belâgat _  belagat ilmi. Bir şeyi en güzel ve açık bir şekilde anlatma.  
 fenn-i beyân _  belagat ilminin, yâni edebiyatın hakikat, teşbih, istiâre, mecâz ve kinâye kısımlarından bahseden ilim dalıdır.  
 fenn-i beyân-ı maâni _  üslup ve belagat ilminin kısımları.  
 fenn-i elektrik _  elektrik ilmi.  
 fenn-i hendese _  mühendislik.  
 fenn-i hikmet _  felsefe.  
 fenn-i hikmetü'l-eşya _  bütün varlıkların yaratılışındaki gâyelerine ve ince nizamlarına âit ilim; tabiat bilgisi.  
 fenn-i iâşe _  insanlar ve hayvanların besleniş ve yaşayışları hakkında bilgi veren ilim dalı.  
 fenn-i kıraat _  okuma ilmi.  
 fenn-i kimya _  kimya ilmi.  
 fenn-i kitâbet _ çeşitli yazı usül ve şekillerini öğreten ilim.  
 fenn-i maâni _  güzel söz söylemeyi ve güzel yazmayı öğreten edebiyatın bir şubesi.  
 fenn-i makine _  makine ilmi.  
 fenn-i mantık _  mantık ilmi.  
 fenn-i menâfiü'l·âzâ _  Bedendeki uzuvların faydalarını anlatan ilim. Fizyolojik Anatomi.  
 fenn-i tıb _  tıb ilmi.  
 fennen _  fence, fenne uygun olarak.  
 fenni _ fenne ilgili ve fene âit. Müsbet ilme dayanan.  
 fer' _  bir aslın neticesi, uzantısı.  
 ferâgat _  hakkından vazgeçmek, bir şey istememek, şahsî dâvâlarından vazgeçme.  
 ferâh-ı münezzeh _  tam huzur, kusursuz ferahlık ve kemâl noktasındaki güzellikler âlemi.  
 ferâiz-i diniye _ dinin farzları, yapılması Allah tarafından kesin olarak emredilen şeyler.  
 ferâiz-i İlâhiye _  Allah'ın farz kıldığı şeyler.  
 ferâiz _  farz kılınan ibâdetler, farzlar; Allah'ın kesin emirleri.  
 ferc _  dişi üreme organı.  
 ferd _  tek, bir, yekta; kişi; eşsiz.  
 ferd-i fevkalâde _  olağanüstü, fevkâlade olan bir fert.  
 ferd-i hasnâ _  iffetine düşkün bir tek kadın.  
 ferd-i mümtaz _ özellikle seçilmiş insan. (Hz. Muhammed. ) 
 ferdâniyet _ teklik, bir oluş.  
 ferdi _ şahsi  
 ferh _  yavru.  
 ferid-i kevn ü zaman _  kâinâtın ve bütün zamanların benzersizi olan.  
 ferikiyet _  generallik.  
 ferik _  general, korgeneral, tümgeneral.  
 ferman _  emir, tebliğ, padişah buyruğu.  
 fermân-ı ahkem _  beyan ve ifâdeleri hikmetli olan emir.  
 fermân-ı âzam _  en büyük ferman.  
 fermân-ı celil _  Cenâb-ı Allah'ın yücelerden gelen fermanı.  
 fermân-ı ezelî _ varlığının başlangıcı olmayan Allah'ın emri.  
 fermân-ı haşr _  dirilişle ilgili Allah'ın buyruğu.  
 fermân-ı kudsi _  Allah'ın mukaddes fermanı.  
 fermân-ı Rahmânî _  sonsuz merhamet sâhibi, Allah'ın fermanı, emri.  
 fermân-ı zişan _  şanlı ferman.  
 fermanber _  emir dinleyen, itaat eden. Boyun eğen. Fermanlı.  
 ferş _  yeryüzü, yer.  
 feryad _  bağırıp çağırmak, yüksek sesle medet istemek.  
 feryâd ü fizar _  yüksek sesle bağırıp haykırmak, imdat istemek.  
 ferzendâne _  evlât gibi, evlâda yakışır sûrette.  
 fesad _  bozukluk ve fenâlık, karışıklık, haddi aşıp zulmetmek.  
 fesâhat _  doğru ve düzgün söyleyiş, açık ve güzel ifâde.  
 fesâhat-i hârika _  hârika fesâhat.  
 fesâhat-i lâfziye _  lâfzın doğru ve düzgün olması, sözün açık ve güzel ifâdeli oluşu.  
 fesat _  bozuk ve fenâlık, karışıklık, haddi aşıp zulmetmek.  
 festemi' _  "dinle", "işit' anlamında bir emrî kelimedir.  
 feth _  açmak, Müslümanların bir yeri zabtetmesi.  
 fetvâ _  bir mesele hakkında ehil olan kimse tarafından verilen dînî hüküm.  
 fevk _  üst, üzeri.  
 fevkalâde _  olağanüstü.  
 fevka'z-zaman _  zaman üstü. Zamanla kayıtlı olmadan.  
 fevt _  kaybetme, elden çıkarma.  
 feylesof _  felsefe ile uğraşan, felsefeci, filozof.  
 feylesofâne _  filozofçasına.  
 Feyyâz-ı Mutlak _  çok çok bereket ve bolluk veren Allah.  
 feyz (feyiz) _  bolluk, bereket, ilim, irfan, mübâreklik, mânevi gıdâ.  
 feyz-i iman _  îmânın feyzi.  
 feyz-i İlâhi _  İlâhi feyiz.  
 feyz-i Kur'ân _  Kur'an'ın feyzi, Kur'ân'ın verdiği ilham.  
 feyz-i sohbet-i Nübüvvet _  peygamberlik sohbetinin feyz ve bereketi.  
 feyz-i tecelli _  tecellinin feyiz ve bereketi.  
 feyz-i ziyâ _  bereketli aydınlık. Bolca ışık.  
 fezâ _  yıldızlar arasındaki geniş boşluk, uzay, gökyüzü.  
 fezâ-i âlem _  gökyüzü; fezâ âlemi; uzay.  
 feza-i ıtlak _  hudutsuz gökyüzü, nihayetsiz fezâ 
 fezâ-i kâinat _  uzay.  
 feza-i ulvi _  geniş fezâ alemi.  
 fezâ-i vasia _  Uzay. uçsuz-bucaksız; geniş olan feza âlemi.  
 fezâil-i kelâmiye _  sözün faziletlileri.  
 fezleke _  özet, hülâsa, netice, icmal; hesap listesindeki netice.  
 fıkra _  yazıda bir bahis paragraf; kısa haber; küçük hikâye.  
 fıkra-i Arabiye _  Arapça fırka, metin.  
 fırâk-ı dâlle _  sapık grup, hak yoldan ayrılan fırka.  
 fırka-i dâlle _  dalâlete gidenler, sapıtanlar.  
 fısk _  günah; Allah'ın emirlerini terk ve Ona isyan etmek, doğru yoldan sapmak.  
 fıtrat _  yaratılış, huy, tabiat.  
 fıtrat-ı asliye _ bozulmamış yaratılış,insan doğuştan İslâm fıtratı üzerine yaratılmıştır.  
 fıtrat-ı İlahiye _  Yaratılıştan verilen şekil, mâhiyet.  
 fıtrat-ı insâniye _  insanın yaratılışı.  
 fıtrat-ı insâniyet _  insanlık tabiatı, insana uygun huy ve davranışlar, insan yaratılışı.  
 fıtrat-ı selime _  doğru ve doğruluk üzerine yaratılış.  
 fıtraten _  yaratılış ile, yaratılış bakımından.  
 fıtrî _  doğuştan, yaratılıştan, fıtrata âit ve yaratılışla ilgili.  
 fîzar _  ağlayıp inlemek, sesli ağlamak.  
 fizâr-ı istimdatkârâne _  medet isteyerek inleyip ağlamak.  
 figan _  ağlayıp sızlama.  
 fihriste _  bir dükkânda veya bir kitabın içerisinde ne bulunduğunu sıra ile gösteren liste, katalog.  
 fihriste-i cihazât _  bir şeyin pek çok kısmının özeti, cihazların listesi.  
 fihriste-i sanat-ı Rabbâniye _  her şeyi terbiye eden Allah'ın sanatının fihristesi.  
 fihriste-i vücud _  vücudun fihristesi.  
 fiil _  iş, amel, oluş, hareket.  
 fiil-i Rubûbiyet _  terbiye edicilik fiili.  
 fiilen _  fiille, davranış ve hareketlerle.  
 fikir _  düşünmek; Allah'ın isim ve sıfatlarını ve bunların tecellilerini tefekkür etmek.  
 fikr-i avâm _  halktan irfanı kıt olan kimsenin fikri, okuyup yazması az olanların düşüncesi.  
 fikr-i beşer _  insanın fikri.  
 fikr-i felsefe _  felsefe fikri.  
 fikr-i insâni _  insanın fikri..  
 fikri küfri _  küfür olan fikir.  
 fikr-i tabiat _  tabiat fikri.  
 fikren _  düşünce itibâriyle, fikir bakımından.  
 fikret-i beyzâ _  münevver ve parlak fikirler.  
 filânün. tavilü'n-necad _  "Kılıncının kayışı, bendi uzundur" mânâsında kinâyeli bir söz.  
 filhakîka _  hakikatte. İşin doğrusu.  
 firak _  ayrılık, ayrılma, hicran.  
 firâk-ı ebedî _  sonsuz ayrılık.  
 firâk-ı elîm _  çok acıklı ayrılık.  
 firâk-ı elimâne _  acı veren ayrılık.  
 firâkü'l-ahbap _  dostlardan ayrılmak, ahbapların ayrılığı.  
 firavun-u zelîl _  alçak fir'avun.  
 Firavun _  Mısır'da yaşamış ve Hz. Musa'ya (a. s. ) inanmayan, onunla savaşan ve Allah'a isyan ederek ilâhlık dâvâ eden hükümdar. Firavun gibi ilâhlık iddia edenlere de bu isim verilir.  
 Firavunâne _  Fir'avun gibi.  
 firavuniyet _  firavunluk, dinsizlik, isyankârlık ile Allah'ı tanımama, kendisini ilâh olarak görme.  
 firdevs-i mânevi _  mânevi cennet.  
 firkat _ ayrılmak, ayrılık.  
 fitne _  ahlâkta ve cemiyet nizâmında azgınlık ve bozgunculuk; azdırma, baştan çıkarma, karışıklık.  
 fizar _  ağlayıp inlemek, sesli ağlamak.  
 fonograf _  gramofonun ilk şekli, ses cihazı, sesi alıp geri veren cihaz.  
 fonograf-ı Rabbânî _  İlâhî ve canlı olan ses cihazları. Canlı stüdyo.  
 forma _  askeri nişan, rütbe işareti, bükülünce 8,16, 32 sayfa olan kitap parçası.  
 frengî _  Frenkçe, Avrupâ dilleri ve kültürü.  
 fuhşiyât _  çok çirkin işler, günahlar; gayr-ı meşru cinsi münâsebetler.  
 fukarâ _  fakirler.  
 Furkan _  Hak ile batılı, iyi ve kötüyü; hayır ve şerri bir birinden ayıran ve farkettiren Kur'ân.  
 Furkan-ı Ahkem _  en sağlam ve en çok hükmeden, hak ile bâtılı birbirinden ayıran Kur'ân-ı Kerim.  
 Furkan-ı Celil-üş-Şan _  şanı yüce olan Kur'ân.  
 fuzuli _ fazladan olan, gereksiz şey, işe yaramayan, boşu boşuna.  
 fuziliyâne _ fazladan, lüzumsuz, boşuna.  
 füc'eten _  âniden, birdenbire.  
 füccâr _  fâcirler, günahkârlar, açıktan günah işleyenler.  
 fünûn _ fenler.  
 fünûn-u acibe _  şaşılan fen ve ilimler.  
 fünûn-u beşeriyye _  beşerî fenler.  
 fünûn-u ekvân _  kâinat fenleri.  
 fünûn-u hafiye _  gizli fenler; cinleri ve ruhları ilim teknikte istihdam etmekle ilgili fenler, ilimler; (bak. ulûm-u hafiye) 
 fünûn-u hâzıra _  günümüzdeki fenler, ilimler.  
 fünûn-u hikmet _  hikmet fenleri.  
 fürce _  girecek yer; boşluk, çatlaklık, açıklık.  
 fütur _  ara, usanç, gevşeklik,· 
 fütur _  yarıklar, çatlaklar.  
 füyüzât _  feyizler, mânevî bolluk ve bereketler, olgunlaşmalar, inayetler.  
 füyüzât-ı nimet _  ni'met feyizleri, bol nimetler, yardımlar ve ikramlar.  
 gabâvet _  ahmaklık, anlayışsızlık, bönlük, kalın kafalılık.  
 gadab _  öfke, kızgınlık.  
 gaddar _  çok çok zulmeden.  
 gadr _ hâinlik, vefâsızlık, Zulüm.  
 gadr-i mutlak _  mutlak merhametsizlik, Zulüm.  
 gâfil _  dikkatsiz, iyi düşünmeyen, uyanık olmayan.  
 gâfilâne _  körükörüne, ihtiyatsızca, dalgınlıkla.  
 gaflet _  dikkatsizlik, endişesizlik, vurdumduymazlık, nefsine uyarak Allâh'ı ve emirlerini unutmak.  
 gaflet-i mutlak _  nefsine ve hevesâtına uyarak Allah'ı ve emirlerini unutma, iman ve İslâm'dan, hak ve hakikattan gafil olma.  
 gafletpişe _  gaflet içinde, çok gâfil.  
 gâh begâh _  zaman zaman. Yer yer.  
 gâib (gayb) _  görünmez, gizli.  
 gâibâne _  hazırda görünmeksizin, yüz yüze olmadan, gizliden; gramerde, üçüncü şahıs kişiyle konuşma.  
 galat _  yanlış, hatâ.  
 galebe _  üstün gelmek, yenmek, bozmak, çokluk.  
 galebe-i i'cazkârâne _  mu'cizeli bir şekilde galip gelme.  
 gâli _  pahalı, ağır, kıymetli.  
 gâlib-i esmâ ve sıfat _  ekser isim ve sıfat-ı ilâhiye.  
 gâliben _  çoğunlukla, ekseriyetle.  
 gâliye _  yüksek, çok değerli.  
 galiz _  kötü, kaba, çirkin söz, küfür.  
 gam _  keder, üzüntü.  
 gani _  zenginlik sâhibi.  
 Gani-i Alelıtlak _  her şeye sâhip ve hiç bir şeye hiç bir şekilde muhtaç. olmayan Allah.  
 Gani-i Kerîm _  sonsuz cömertlik ve zenginlik sahibi olan Allah.  
 Ganî-i Mutlak _  sonsuz ve sınırsız zenginlik sahibi ve hiç bir şeye ihtiyacı olmayan Allah.  
 garâbet _  gariplik, tuhaflık, hayret vericilik.  
 garâib-i nukuş _  hayret verici nakışlar, şaşırtıcı güzellikteki süsler.  
 garâib-i fen _  fennin şaşırtıcı ve hayret verici şeyleri.  
 garâib-i icraat _  hayret verici iş ve faaliyetler.  
 garâib-i sanat _  sanattaki gariplik, incelik ve hayranlık.  
 garâip _  acâip şeyler, hayret edilecek şeyler.  
 garât _  gasblar, yağmalar.  
 garaz _  maksat, niyet, kasıt; kötü niyet ve kin.  
 garb _  batı.  
 garib (garibe) _  hayret verici, tuhaf.  
 gark _  batmak, boğulmak.  
 gasb _  başkasının malını rızâsı olma-. dan zorla almak.  
 gâsıbâne _  hakkı olmayan şeyi alarak, gasbederek.  
 gâvur _  kâfir.  
 gavvas _  çok gayretli çalışkan; suya dalan, inci arayan dalgıç.  
 gâyât _  gâyeler, amaçlar, emeller..  
 gâyât-ı irşâd _  irşad etme gayeleri. Aydınlatma maksatları.  
 gâyât-i fıtrat _  yaratılış gâyeleri.  
 gâyât-ı hayatiye _  hayatın gâyeleri.  
 gâyât-ı hudud _  sınırın sonu.  
 gâyât-ı vücud _  var oluşun gâyeleri.  
 gayb _  görünmeyen, fakat varlığı kesin olan ve mâhiyeti Allah tarafından bilinen başka dünyalar.  
 gaybaşinâ _  gaybı bilen, gaybdan haberi olan, gelecekten veya âhiretten haber veren.  
 gaybi _  gayba âit ve onunla ilgili; hazırda olmayan, görünmeyenlere âit, hazırda olmayanlara âit, başka âlemdekilere âit, âhirete âit.  
 gaybi-yi âsuman _  gökyüzünün bilinmeyen yönleri.  
 gaybubet _  hazırda olmayıp başka yerde olma.  
 gâye _  hedef, maksat.  
 gâye-i aksâ _  en son gâye.  
 gâye-i cüz'iye _  küçük bir gâye, maksat, netice.  
 gâye-i emel _  gâye ve emel.  
 gâye-i hakikiye _  bir asıl gayeye yönelik.  
 gâye-i hayal _  ideâl. Hayalde tasavvur edilen ve ona varılması istenen gaye ve maksat.  
 gâye-i himmet _  gayret ve çabanın gâyesi.  
 gâye-i ibâdet _  ibâdetin gâyesi.  
 gâye-i idhâl _  konmasının ve yerleştirilmesinin gâyesi.  
 gâye-i insâniyet _  insanlığın gâye ve maksadı.  
 gâye-i vücud _  varlık gayesi.  
 gâye-i yegâne _  tek gâye 
 gâyet _  çok, pek çok.  
 gâyet-i kemâl _  yükselme, yücelme gâyesi.  
 gayetü'l-gâyât _  nihai gâye. Asıl maksat.  
 gayr _  başka, diğer. hariç, dış.  
 gayr-i kâbil _  mümkün olmayan, imkânsız.  
 gayr-i mahdut _  hudutsuz, sayısız.  
 gayr-i mahsur _  sayısızca, sınırsız.  
 gayr-i mâkul _  akıl dışı, akla yakın olmayan.  
 gayr-i melfuz _  telâffuz olunmamış, söylenmemiş olan, ağızdan çıkmayan.  
 gayr-i meş'ur _  şuur hârici. Şuuru taalluk etmeden.  
 gayr-i meşru _  dîne aykırı, meşru olmayan.  
 gayr-ı mütenahi _  sonu olmayan, nihayetsiz.  
 gayr-i sâbit _  durgun ve hareketsiz olmayan doğruluğu isbat edilmeyen.  
 gayret _  şeref, haysiyet, izzet 
 gayretullah _  Allah'ın, hak dinini koruma sıfatı.  
 gazap _  hiddet, öfke, kızgınlık.  
 gazât-ı muzırra _  zararlı gazlar.  
 gazevât _  savaş. Meydan muharebeleri.  
 gedâ _  fakir, kimsesiz, dilenci.  
 gemi-i cebbâr _  büyük ve azâmetli gemi.  
 ger _  eğer.  
 gıdâ-i ervah _ . ruhların gıdası.  
 gıdâ-i mânevi _  mânevi gıda.  
 gılâf _  kılıf, mahfaza, örtü.  
 gılâf-ı lâtif _  ince, güzel ve şeffaf tür örtü. Ruhun libası, örtüsü.  
 gınâ _  zenginlik, yeterlik, tok gözlülük.  
 gınâ-i İlâhiye _  Cenâb-ı Hakkın bolluk, bereket ve zenginlikleri.  
 gınâ-i Rabbaniye _  her şeyi terbiye eden Allah'ın sonsuz zenginliği ve hiç bir şeye muhtaç olmaması.  
 gıpta _  imrenme.  
 gıyas çekmek _  yardım dilemek, imdat istemek.  
 gıybet _  bir kimsenin yüzüne karşı söylendiğinde darılabileceği bir sözü arkasından konuşma, dedikodu.  
 gidişât _  gidişler, hâl, vaziyet, seyir.  
 girift _ yakalama, tutma; dolaşık, birbiri içine girik, karışık.  
 giriftar _ tutulmuş, yakalanmış.  
 gufran _  Allah'ın günahları affetmesi, mağfiret.  
 gunâgün _ türlü türlü, renk renk.  
 gurbet _  gariplik, yabancılık; yabancı memleket, yâd el.  
 gurûb _  batma, batış, batıda görünmez olmak.  
 gül-ü Muhammedi (a. s. m. ) _  kırmızı renkli bir gül çeşidi.  
 gümrâh _ yolunu şaşırmak. Sapmak.  
 güruh _ bölük, cemaat, kısım.  
 güvâh _ şâhid.  
 güyâ _  sanki.  
 gûzerân-ı hayat _  geçici hayat, geçen hayat.  
 hâb-ı rahat _  rahat uykusu.  
 habbe _  dâne, tohum, parça.  
 haber-i vâhid _  ilk ve tek haber veya hadise olmuş olması.  
 habib _  sevilen, sevgili.  
 Habib-i Ekrem _  Allah'ın sevgilisi olan Hz. Muhammed (a. s. m. ).  
 habib-i hakîki _  hakîki sevilmeye lâyık olan.  
 habibiyet _ sevgililik, sevgili oluş.  
 Habibullah _  Allah'ın en sevdiği olan Peygamber Efendimiz Hz. Muhammed (a. s. m. ).  
 habis _ pis, kötü, hilekâr.  
 hacâlet _  utanç, utanma.  
 hacâletâver _  utandırıcı, utanç veren.  
 hâcât _  ihtiyaçlar.  
 hâcât-ı beşeriye _ insanın ihtiyaçları.  
 hâcât-ı fıtrî _ yaratılıştan gelen ihtiyaç.  
 hâcât-ı hayvâniye _  hayvanların ihtiyaçları.  
 hâcât-ı insâniye _  insanın ihtiyaçları  
 hâcât-ı mâneviye _  mânevi ihtiyaçlar.  
 hâcât-ı zaruriye _  zorunlu ihtiyaçlar.  
 hâcet _  ihtiyaç, lüzum, gerek.  
 hâcet-i âmme _ umumi ihtiyaç, herkesin ihtiyacı.  
 had _ sınır, dozaj.  
 hadd ü hesab _  adet, hesap, sınır. "Sınırsız" mânâsında.  
 hadd-i büluğ _  büluğâ erme yaşı, teklif-i İlâhinin başladığı, namaz ve oruç gibi emirlerin yerine getirilmesinin şart olduğu yaş.  
 hadd-i mevhum _  hayalî ve olmayan bir sınır.  
 hademe _  hizmetçi.  
 hâdi _  hidâyet veren, doğru yola ulaştıran.  
 hadika _  bahçe.  
 hâdis _  sonradan olan.  
 hadis _  Peygamberimizin (a. s. m) sözü, emri ve hareketini anlatan söz veya yazı.  
 hadis-i kudsi _  mânâsı Peygamberimize (a. s. m. ) vahiy ile ilham edilen, kelimesi Peygamberimize âit olan hadis.  
 hadis-i şerif _  Peygamberimizin (a s. m. ) sözü, emri ve hareketini bildiren ifâde.  
 hâdim _  hizmet eden, hizmetkâr.  
 hâdisât _  hâdiseler, olaylar.  
 hâdisât-ı arziye _  yeryüzü hâdiseleri.  
 hâdisât-ı azime _  büyük hâdiseler.  
 hâdisât-ı cevviye _  feza hâdiseleri.  
 hâdisât-ı cüz'iye _  küçük ve basit hâdiseler.  
 hâdisât-ı dünyeviye _  dünya hâdiseleri.  
 hâdisât-ı hayatiye _  hayatî hâdiseler.  
 hâdisât-ı kâinat _  kâinat hâdiseleri.  
 hâdisât-ı kevniye _  yaratılışa ve oluşa âit hadiseler; dünyada meydana gelen olaylar.  
 hâdisât-ı mâziye _  geçmiş, mâzideki hâdiseler.  
 hâdisât-ı necmiye _  yıldız hâdiseleri.  
 hâdisât-ı semâviye _  gök hâdiseleri. Uzaydaki gelişmeler.  
 hâdisât-ı tarihiye _  tarihi hadiseler.  
 hâdise _  olay 
 hâdise-i arzîye _  arzi hâdise.  
 hâdise-i azime _  büyük hâdise.  
 hâdise-i cüz'i _  küçük ve basit hâdise.  
 hâdise-i cüz'iye _  küçük ve basit hâdise.  
 hâdise-i ezeliye _  ezelî hâdise.  
 hâdise-i hârika _  hârika hâdise.  
